Step,Temp,TotEng,Press,c_p_all
0,1.5,-2.9383957,4.5788692,3.3226996
200,1.5495209,-3.0476475,3.8983677,2.6007271
400,1.4815398,-2.9152368,5.2163897,3.9756796
600,1.4615825,-2.8384865,5.3477105,4.1237135
800,1.4903506,-2.8486865,5.2557017,4.0076129
1000,1.5255166,-2.923143,4.5836307,3.3060923
1200,1.4639552,-2.9423795,4.9385651,3.712581
1400,1.4715368,-2.9343977,4.9976217,3.7652884
1600,1.4922526,-2.881519,5.0591208,3.8094393
1800,1.4205507,-3.0376325,4.8850919,3.6954569
2000,1.541877,-3.0140119,4.3155835,3.0243442
2200,1.6271529,-3.0195046,3.6872208,2.3245674
2400,1.433764,-2.9184774,5.190388,3.9896875
2600,1.4751983,-2.9254097,4.9398169,3.7044174
2800,1.5132975,-2.9407455,4.6655797,3.3982741
3000,1.4538146,-2.9683217,4.9309768,3.713485
3200,1.5993996,-2.9150029,4.2814445,2.942033
3400,1.4004535,-2.9547063,5.2616112,4.0888065
3600,1.5000741,-2.9199374,4.8461162,3.5898845
3800,1.5038233,-2.9199304,4.6595269,3.4001555
4000,1.4997783,-2.9935572,4.4218895,3.1659056
4200,1.4758693,-2.9168166,4.8783429,3.6423815
4400,1.5579362,-2.9632304,4.574151,3.2694629
4600,1.4810285,-2.8503267,5.3280564,4.0877744
4800,1.5269414,-2.8846663,4.7369558,3.4582243
5000,1.5721884,-2.8805109,4.5122898,3.1956663
5200,1.511764,-2.898769,4.6764245,3.4104032
5400,1.5291074,-2.9614871,4.3285496,3.0480041
5600,1.5518586,-2.9204908,4.3393738,3.0397754
5800,1.5290379,-2.8969788,4.7959899,3.5155026
6000,1.48446,-2.9175704,4.877151,3.6339953
6200,1.4899949,-2.8489814,5.1869937,3.9392029
6400,1.4732441,-2.8963429,4.9530889,3.7193259
6600,1.5127333,-2.9415955,4.5864053,3.3195723
6800,1.4522658,-2.8235114,5.5911556,4.3749608
7000,1.5172151,-2.8746247,4.7319037,3.4613174
7200,1.5288822,-2.8908867,4.8235408,3.5431839
7400,1.4302377,-2.9192774,5.1301825,3.9324351
7600,1.4491987,-2.9250285,5.0184686,3.8048424
7800,1.4963931,-2.8625382,4.9915451,3.738396
8000,1.4950275,-2.9151113,4.898655,3.6466496
8200,1.5187877,-2.852384,4.8206944,3.5487911
8400,1.4520427,-2.9464012,4.907898,3.6918901
8600,1.4953019,-2.8972706,5.0078247,3.7555895
8800,1.5269329,-3.012565,4.2635071,2.9847827
9000,1.6121033,-2.8745127,4.4705798,3.1205296
9200,1.4584617,-2.9051242,5.0608055,3.839422
9400,1.4645738,-2.9652187,4.8355844,3.6090824
9600,1.4515504,-2.8814293,5.3012466,4.085651
9800,1.5310811,-2.872144,4.8801715,3.5979731
10000,1.6096048,-2.9102967,4.0494775,2.7015197
10200,1.443201,-2.866043,5.5314647,4.3228613
10400,1.4599248,-2.8754679,5.1919223,3.9693135
10600,1.4549196,-2.8762788,5.321605,4.1031878
10800,1.5214311,-2.9441061,4.5174437,3.2433267
11000,1.5421441,-2.875289,4.58809,3.2966269
11200,1.5038778,-2.9017214,5.0549587,3.7955416
11400,1.4407661,-2.894411,5.2761861,4.0696217
11600,1.3592382,-2.9201187,5.5320196,4.3937305
11800,1.4472275,-2.8874266,5.2969657,4.0849903
12000,1.4600163,-2.9432882,4.7686372,3.5459518
12200,1.5302462,-3.0073954,4.0322932,2.750794
12400,1.5136452,-2.9643248,4.3648317,3.097235
12600,1.5135722,-2.9048012,4.8858423,3.6183066
12800,1.374939,-2.9255663,5.5021259,4.3506882
13000,1.3100421,-2.8297679,6.5930315,5.4959414
13200,1.5056257,-2.9742258,4.359528,3.0986472
13400,1.512211,-2.932508,4.6412518,3.3748561
13600,1.408816,-2.8706619,5.5246454,4.3448375
13800,1.423366,-2.9460664,4.9867302,3.7947375
14000,1.5143896,-2.9262113,4.6574355,3.3892154
14200,1.522965,-2.8530441,4.8886136,3.6132121
14400,1.5082713,-2.8268492,5.0546104,3.791514
14600,1.4825805,-2.9156439,4.9632539,3.7216722
14800,1.4835334,-3.0049054,4.7124614,3.4700817
15000,1.4629321,-2.9458047,5.1244649,3.8993377
15200,1.5651311,-2.9358024,4.3010852,2.9903718
15400,1.5107042,-2.9494182,4.6364343,3.3713004
15600,1.5663075,-2.9700544,4.2299886,2.9182901
15800,1.462549,-2.9541615,4.9428807,3.7180743
16000,1.5256614,-2.8742739,4.6644564,3.3867967
16200,1.5596594,-2.9037805,4.5626698,3.2565386
16400,1.6551468,-2.85452,4.2791959,2.8930992
16600,1.5182088,-2.9701042,4.5656647,3.2942462
16800,1.4951321,-2.960408,4.5213479,3.269255
17000,1.3593011,-2.9431428,5.451102,4.3127602
17200,1.347546,-2.944315,5.4914119,4.3629144
17400,1.4897368,-2.8849739,4.9484026,3.7008278
17600,1.5591123,-2.9811428,4.1093041,2.8036311
17800,1.5597406,-2.9617094,4.4919007,3.1857016
18000,1.4356618,-2.9271461,4.9262336,3.7239438
18200,1.5571907,-2.9092924,4.5358891,3.2318253
18400,1.5264395,-2.9237657,4.7304957,3.4521845
18600,1.5206359,-2.890565,4.7374701,3.464019
18800,1.5399274,-2.8743687,4.6826308,3.3930241
19000,1.5182607,-2.9279426,4.5866412,3.3151793
19200,1.5954893,-2.9350182,4.0450405,2.7089037
19400,1.4818289,-2.8730497,5.115743,3.8747908
19600,1.439412,-2.9249649,4.972863,3.7674326
19800,1.4850923,-2.9187724,4.7703548,3.5266697
20000,1.4659665,-2.9579967,4.6451382,3.4174699
