Step,Temp,TotEng,Press,c_p_all
0,1.4659665,-2.9579967,4.6451382,3.4174699
200,1.6338465,-2.8284743,4.4215202,3.0532613
400,1.384964,-3.0979986,4.9284459,3.7686128
600,1.4528055,-3.2946677,3.331063,2.1144163
800,1.5252412,-2.8860994,4.8448169,3.5675092
1000,1.5029738,-2.8494622,5.0560956,3.7974357
1200,1.6362571,-2.6026546,5.2067766,3.836499
1400,1.4979566,-3.0687061,3.9154149,2.6609566
1600,1.5498834,-2.8362809,5.0506893,3.752745
1800,1.4600131,-3.1145373,4.2308091,3.0081264
2000,1.3910828,-2.9057476,5.6916197,4.5266624
2200,1.4655542,-3.0836589,4.3094446,3.0821215
2400,1.5851985,-2.591142,5.7904783,4.4629596
2600,1.5582099,-2.963896,4.1865314,2.8816141
2800,1.4642402,-2.888697,5.1783331,3.9521104
3000,1.4883487,-3.1031375,4.1215841,2.8751718
3200,1.5420676,-3.0281441,4.0384692,2.7470702
3400,1.4692959,-3.1089734,4.0810263,2.8505697
3600,1.5787465,-2.8579946,4.65639,3.3342744
3800,1.4226024,-2.9330532,5.1338078,3.9424545
4000,1.2750175,-3.2368851,4.5544539,3.4866951
4200,1.5323247,-2.9470914,4.3912819,3.1080422
4400,1.4856036,-2.8996239,5.1720053,3.9278919
4600,1.3428006,-3.20395,4.1560479,3.0315244
4800,1.455099,-3.2223139,3.6828453,2.4642779
5000,1.5876908,-2.8235149,4.6531861,3.3235801
5200,1.4459321,-3.032253,4.6354136,3.424523
5400,1.3974805,-3.2583432,3.8370748,2.6667597
5600,1.5541911,-3.0037401,3.9890808,2.687529
5800,1.4324383,-2.9561093,5.0249066,3.8253163
6000,1.5161752,-2.8992348,4.7371397,3.4674243
6200,1.4583767,-3.0448488,4.7518555,3.5305431
6400,1.4086561,-2.9570384,5.25787,4.078196
6600,1.60092,-2.7756215,4.8394078,3.4987231
6800,1.5429886,-2.7343169,5.3134054,4.0212352
7000,1.4376366,-3.0164594,4.8119392,3.6079956
7200,1.502667,-2.8093414,5.2857125,4.0273094
7400,1.5999813,-2.6172338,5.6395946,4.299696
7600,1.5142847,-2.7201333,5.4997914,4.2316591
7800,1.5379396,-2.9971423,4.1151489,2.827207
8000,1.349581,-3.2287209,4.2992818,3.16908
8200,1.4578264,-2.9462381,4.5723941,3.3515426
8400,1.4956894,-3.0462894,4.2371894,2.9846297
