Step,Temp,TotEng,Press,c_p_all,v_mcmoves,v_mcaccratio
0,0.49466129,-5.3840735,-0.41294901,-0.82720133,0,0
200,0.49466129,-5.4549461,-0.95615861,-1.3704109,25000,0.47156
400,0.49466129,-5.3509051,-0.4584911,-0.87274342,50000,0.47284
600,0.49466129,-5.4444616,-0.98113231,-1.3953846,75000,0.47365333
800,0.49466129,-5.4506054,-1.08035,-1.4946024,100000,0.47467
1000,0.49466129,-5.4377961,-0.93535137,-1.3496037,125000,0.475288
1200,0.49466129,-5.3564622,-0.57615998,-0.9904123,150000,0.47508667
1400,0.49466129,-5.5109686,-1.4631545,-1.8774068,175000,0.47608
1600,0.49466129,-5.4634673,-1.0248704,-1.4391227,200000,0.476545
1800,0.49466129,-5.4780842,-1.0975517,-1.5118041,225000,0.47616889
2000,0.49466129,-5.4859277,-1.23474,-1.6489923,250000,0.47624
2200,0.49466129,-5.4462667,-1.1071977,-1.52145,275000,0.47606545
2400,0.49466129,-5.5401226,-1.4599665,-1.8742188,300000,0.47626667
2600,0.49466129,-5.5126655,-1.2586874,-1.6729397,325000,0.47586769
2800,0.49466129,-5.4844172,-1.225702,-1.6399543,350000,0.47636857
3000,0.49466129,-5.4877007,-1.3552763,-1.7695286,375000,0.476768
3200,0.49466129,-5.5091533,-1.2792046,-1.693457,400000,0.476525
3400,0.49466129,-5.5410642,-1.494433,-1.9086853,425000,0.47658588
3600,0.49466129,-5.4969394,-1.2527398,-1.6669921,450000,0.47676
3800,0.49466129,-5.3450812,-0.46091118,-0.8751635,475000,0.47637263
4000,0.49466129,-5.348304,-0.36208375,-0.77633607,500000,0.476206
4200,0.49466129,-5.5023119,-1.257272,-1.6715243,525000,0.47606286
4400,0.49466129,-5.4614724,-1.0854291,-1.4996814,550000,0.47588182
4600,0.49466129,-5.4914227,-1.1006609,-1.5149132,575000,0.47596348
4800,0.49466129,-5.481571,-0.9673059,-1.3815582,600000,0.47568333
5000,0.49466129,-5.3607498,-0.41821247,-0.83246479,625000,0.475432
5200,0.49466129,-5.4270957,-0.83830457,-1.2525569,650000,0.47549692
5400,0.49466129,-5.4482353,-0.94063565,-1.354888,675000,0.47544741
5600,0.49466129,-5.4635577,-1.1185329,-1.5327853,700000,0.47516429
5800,0.49466129,-5.4729052,-1.1475105,-1.5617629,725000,0.47517793
6000,0.49466129,-5.4750775,-1.183417,-1.5976693,750000,0.47536533
6200,0.49466129,-5.4685539,-1.194156,-1.6084083,775000,0.47528
6400,0.49466129,-5.4765155,-1.2009314,-1.6151837,800000,0.475355
6600,0.49466129,-5.4613337,-1.092594,-1.5068463,825000,0.47533697
6800,0.49466129,-5.3937933,-0.81651278,-1.2307651,850000,0.47528706
7000,0.49466129,-5.4515459,-1.1235608,-1.5378131,875000,0.475336
7200,0.49466129,-5.4854329,-1.2232048,-1.6374571,900000,0.47557111
7400,0.49466129,-5.4367433,-1.00511,-1.4193624,925000,0.4754973
7600,0.49466129,-5.4807686,-1.2449155,-1.6591679,950000,0.47568316
7800,0.49466129,-5.4926359,-1.1952742,-1.6095265,975000,0.47561436
8000,0.49466129,-5.4233686,-0.82109997,-1.2353523,1000000,0.47555
8200,0.49466129,-5.4955056,-1.3261286,-1.7403809,1025000,0.47557366
8400,0.49466129,-5.3949583,-0.722533,-1.1367853,1050000,0.47552476
8600,0.49466129,-5.4582326,-1.0178401,-1.4320924,1075000,0.47542326
8800,0.49466129,-5.4642335,-0.93910135,-1.3533537,1100000,0.47545818
9000,0.49466129,-5.4401341,-0.99362876,-1.4078811,1125000,0.47540089
9200,0.49466129,-5.4093546,-0.86367541,-1.2779277,1150000,0.47542
9400,0.49466129,-5.4785461,-1.0467837,-1.4610361,1175000,0.4754
9600,0.49466129,-5.4220068,-0.93102325,-1.3452756,1200000,0.475425
9800,0.49466129,-5.4056846,-0.69871752,-1.1129698,1225000,0.47551347
10000,0.49466129,-5.4394199,-0.89550373,-1.309756,1250000,0.47542
10200,0.49466129,-5.3618133,-0.45141167,-0.86566399,1275000,0.4752949
10400,0.49466129,-5.3857523,-0.51018094,-0.92443326,1300000,0.47508846
10600,0.49466129,-5.4249481,-0.89257372,-1.306826,1325000,0.47507623
10800,0.49466129,-5.4450998,-0.94987091,-1.3641232,1350000,0.47525259
11000,0.49466129,-5.468075,-1.2320513,-1.6463036,1375000,0.47546618
11200,0.49466129,-5.4602597,-0.90000667,-1.314259,1400000,0.47553286
11400,0.49466129,-5.4953838,-1.2034823,-1.6177346,1425000,0.47568772
11600,0.49466129,-5.4544137,-1.0006855,-1.4149378,1450000,0.47570828
11800,0.49466129,-5.4965516,-1.2855652,-1.6998175,1475000,0.47568542
12000,0.49466129,-5.4654629,-1.0015203,-1.4157726,1500000,0.475848
12200,0.49466129,-5.4348553,-1.0106016,-1.4248539,1525000,0.47585705
12400,0.49466129,-5.359992,-0.44615865,-0.86041097,1550000,0.4758671
12600,0.49466129,-5.5091624,-1.1988353,-1.6130876,1575000,0.47594286
12800,0.49466129,-5.3830195,-0.77844173,-1.192694,1600000,0.47605875
13000,0.49466129,-5.4552668,-1.0062645,-1.4205168,1625000,0.47610585
13200,0.49466129,-5.5337202,-1.4740915,-1.8883438,1650000,0.47624485
13400,0.49466129,-5.4108601,-0.83251576,-1.2467681,1675000,0.47623284
