Step,Temp,TotEng,Press,c_p_all
0,1.7178979,-2.4451007,5.7071564,4.268509
200,1.4332952,-3.0525104,4.5499837,3.3496757
400,1.4150656,-3.099498,4.4638615,3.2788199
600,1.4831053,-2.9221082,4.917736,3.6757148
800,1.5378459,-2.7563496,5.4462639,4.1584004
1000,1.4016873,-3.0601118,4.7889428,3.6151048
1200,1.3166039,-3.3014864,4.0809173,2.9783321
1400,1.5061412,-2.9864964,4.3712078,3.1098953
1600,1.5269802,-2.7333211,5.7090288,4.4302648
1800,1.4189949,-2.923033,5.1308018,3.9424697
2000,1.5446385,-3.0910107,3.5964437,2.3028918
2200,1.3251404,-2.9366874,5.7049908,4.5952568
2400,1.4283503,-3.0796151,4.5386315,3.3424647
2600,1.4969794,-3.058814,4.1880423,2.9344024
2800,1.500008,-3.0570774,3.9281892,2.6720129
3000,1.3966474,-3.228841,3.9067767,2.7371593
3200,1.526411,-3.0959117,3.6682996,2.3900122
3400,1.283373,-3.3183733,4.2468707,3.1721145
3600,1.3198629,-3.2950318,3.9099924,2.804678
3800,1.5410035,-3.0963507,3.7296498,2.439142
4000,1.6843616,-2.7764237,4.4946516,3.084089
4200,1.6249496,-2.7233132,4.8925576,3.5317494
4400,1.7205223,-2.8219761,3.8152011,2.3743559
4600,1.8531711,-2.2659144,5.3471841,3.7952527
4800,1.4974923,-2.8294059,5.0600514,3.8059819
5000,1.4983312,-2.9073243,4.7490162,3.4942441
5200,1.5954083,-2.7152707,5.1923987,3.8563297
5400,1.4909137,-2.785915,5.6117462,4.3631859
5600,1.5563738,-2.9390651,4.3388999,3.0355203
5800,1.465733,-3.1442009,3.7330051,2.5055322
6000,1.3680438,-3.2655003,4.1249478,2.9792845
6200,1.3029472,-3.2798496,4.3537351,3.2625867
6400,1.6750829,-2.7304331,4.5324684,3.1296763
6600,1.482531,-2.5048685,6.6413,5.3997598
6800,1.4955706,-2.9856553,4.383298,3.1308378
7000,1.538215,-2.9745922,4.4109128,3.1227403
7200,1.4750966,-2.8640199,5.1655586,3.9302442
7400,1.5321491,-2.7520098,5.2826648,3.999572
7600,1.5421208,-2.8444858,4.9927461,3.7013025
7800,1.6435194,-2.7853466,4.5610301,3.1846708
8000,1.6554838,-2.6701888,5.0495513,3.6631723
8200,1.4749459,-2.8651633,5.0955082,3.86032
8400,1.6306577,-2.8681866,4.2802531,2.9146646
8600,1.5711159,-2.6892562,5.4976421,4.1819168
8800,1.5477917,-2.532279,6.1870515,4.8908589
9000,1.5705964,-2.8445218,4.6611351,3.3458448
9200,1.5171965,-2.6938047,5.7379623,4.4673915
9400,1.4126876,-2.9743171,4.7901261,3.607076
9600,1.4283115,-3.0227996,4.7153563,3.519222
9800,1.4240142,-2.9796904,5.0411862,3.8486507
10000,1.6712461,-2.7633472,4.4759532,3.0763742
10200,1.5189798,-2.6190032,6.0233836,4.7513194
10400,1.3190388,-2.8822443,6.0016069,4.8969825
10600,1.506742,-2.8305215,5.3350522,4.0732366
10800,1.5226368,-2.9029778,4.5850155,3.3098887
11000,1.340733,-3.2787545,4.1949917,3.0721997
11200,1.2772523,-3.2957891,4.2945457,3.2249154
11400,1.3607562,-3.2092217,4.4463265,3.3067661
11600,1.5489123,-2.8249223,4.7950243,3.4978933
11800,1.5940239,-2.7611859,4.9444002,3.6094906
12000,1.5965558,-2.632773,5.4647274,4.1276975
12200,1.447765,-2.8822935,5.2167789,4.0043533
12400,1.4551438,-2.853307,5.217563,3.998958
12600,1.6374321,-2.5909564,5.4131605,4.0418988
12800,1.5744833,-2.7403523,5.233114,3.9145686
13000,1.5848282,-2.8287464,4.870019,3.5428104
13200,1.4751937,-3.0309934,4.3582018,3.1228061
13400,1.4613968,-3.2684187,3.3447429,2.1209015
13600,1.4738943,-2.9784977,4.7017369,3.4674294
13800,1.4818703,-2.7049281,5.9992562,4.7582692
14000,1.6389087,-2.5747521,5.5423109,4.1698127
14200,1.915981,-2.3441091,4.8088703,3.2043389
14400,1.5451133,-2.5855206,5.9935799,4.6996304
14600,1.7335665,-2.7086572,4.2823256,2.8305566
14800,1.6591333,-2.6409682,5.0766201,3.6871848
15000,1.4180956,-3.0133735,4.7792022,3.5916231
15200,1.514992,-2.990659,4.2905335,3.0218089
15400,1.5420339,-2.6826299,5.3499787,4.058608
15600,1.4644467,-2.8355103,5.4057586,4.179363
15800,1.4831072,-2.780096,5.4895918,4.247569
16000,1.5589399,-2.6703618,5.5604026,4.254874
16200,1.4287112,-2.9225408,5.2912029,4.0947339
16400,1.5489584,-2.8974034,4.4213409,3.1241713
16600,1.3381822,-3.2448925,4.4192565,3.2986006
16800,1.4886453,-3.0158489,4.3183665,3.0717058
17000,1.5025139,-3.1800073,3.6159112,2.3576363
17200,1.3608798,-3.0793565,5.1042189,3.964555
17400,1.5461077,-3.0013463,4.2590248,2.9642424
17600,1.6444589,-2.6944391,5.1241603,3.7470141
17800,1.4575823,-2.9812106,4.7373849,3.5167378
18000,1.5588421,-2.8595565,4.630334,3.3248873
18200,1.5272257,-2.7309897,5.5628254,4.2838558
18400,1.6257158,-2.8748042,4.3043357,2.9428859
18600,1.6105468,-2.8106665,4.6088808,3.2601342
18800,1.3859933,-3.0114692,5.0744755,3.9137804
19000,1.3134986,-3.2714619,4.1427906,3.0428059
19200,1.2483335,-3.3928121,4.0844434,3.039031
19400,1.456724,-3.1095186,4.4612809,3.2413525
19600,1.5348877,-3.0046033,4.3159233,3.0305371
19800,1.5088233,-2.7868136,5.4299307,4.166372
20000,1.5290589,-2.8845867,4.9590789,3.678574
